id,merchant_name,merchant_gstin,invoice_no,date,category,total_amount,gst_rate,gst_amount,cgst,sgst,igst,itc_eligible
191,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-8-2023,2023-08-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
192,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-8-2023,2023-08-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
193,Printech Solutions,,EXP-193,2023-08-05T11:44:30.171307,Printing & Stationery,649.62,0.0,0.0,0.0,0.0,0.0,False
194,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-8-2023,2023-08-10T14:00:00.171307,Electricity Bill,6344.06,18.0,967.74,483.87,483.87,0.0,True
195,HDFC Bank Corp,,EXP-195,2023-08-11T11:04:30.171307,Banking Charges,231.45,0.0,0.0,0.0,0.0,0.0,False
196,Google Ads India,,EXP-196,2023-08-12T15:10:30.171307,Marketing,2364.72,0.0,0.0,0.0,0.0,0.0,False
197,Local Carton Wholesalers,,EXP-197,2023-08-15T10:21:30.171307,Packaging Material,1043.59,0.0,0.0,0.0,0.0,0.0,False
198,Local Handyman Services,,EXP-198,2023-08-16T17:01:30.171307,Repairs & Maintenance,2219.14,0.0,0.0,0.0,0.0,0.0,False
199,Local Handyman Services,,EXP-199,2023-08-25T18:51:30.171307,Repairs & Maintenance,2383.26,0.0,0.0,0.0,0.0,0.0,False
200,Speedy Delivery Partners,,EXP-200,2023-08-26T16:22:30.171307,Delivery Charges,500.93,0.0,0.0,0.0,0.0,0.0,False
201,Printech Solutions,,EXP-201,2023-08-29T18:58:30.171307,Printing & Stationery,669.0,0.0,0.0,0.0,0.0,0.0,False
202,Speedy Delivery Partners,,EXP-202,2023-08-30T09:07:30.171307,Delivery Charges,527.57,0.0,0.0,0.0,0.0,0.0,False
203,Prime Properties Ltd,,RENT-9-2023,2023-09-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
204,Store Employees Salaries,,SAL-9-2023,2023-09-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
205,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-9-2023,2023-09-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
206,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-9-2023,2023-09-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
207,HDFC Bank Corp,,EXP-207,2023-09-01T10:37:30.171307,Banking Charges,477.3,0.0,0.0,0.0,0.0,0.0,False
208,Local Handyman Services,,EXP-208,2023-09-02T13:33:30.171307,Repairs & Maintenance,1623.56,0.0,0.0,0.0,0.0,0.0,False
209,HDFC Bank Corp,,EXP-209,2023-09-06T10:34:30.171307,Banking Charges,113.48,0.0,0.0,0.0,0.0,0.0,False
210,Google Ads India,,EXP-210,2023-09-07T18:00:30.171307,Marketing,2976.59,0.0,0.0,0.0,0.0,0.0,False
211,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-9-2023,2023-09-10T14:00:00.171307,Electricity Bill,7185.44,18.0,1096.08,548.04,548.04,0.0,True
212,Google Ads India,,EXP-212,2023-09-12T13:20:30.171307,Marketing,2312.51,0.0,0.0,0.0,0.0,0.0,False
213,Printech Solutions,,EXP-213,2023-09-18T17:54:30.171307,Printing & Stationery,732.29,0.0,0.0,0.0,0.0,0.0,False
214,Local Handyman Services,,EXP-214,2023-09-26T15:30:30.171307,Repairs & Maintenance,1782.92,0.0,0.0,0.0,0.0,0.0,False
215,City Logistics,,EXP-215,2023-09-28T12:18:30.171307,Transportation & Fuel,656.2,0.0,0.0,0.0,0.0,0.0,False
216,City Logistics,,EXP-216,2023-09-30T09:40:30.171307,Transportation & Fuel,1362.52,0.0,0.0,0.0,0.0,0.0,False
217,Prime Properties Ltd,,RENT-10-2023,2023-10-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
218,Store Employees Salaries,,SAL-10-2023,2023-10-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
219,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-10-2023,2023-10-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
220,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-10-2023,2023-10-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
221,City Logistics,,EXP-221,2023-10-06T14:34:30.171307,Transportation & Fuel,1275.6,0.0,0.0,0.0,0.0,0.0,False
222,Google Ads India,,EXP-222,2023-10-07T15:33:30.171307,Marketing,3599.41,0.0,0.0,0.0,0.0,0.0,False
223,Local Handyman Services,,EXP-223,2023-10-08T15:34:30.171307,Repairs & Maintenance,1530.48,0.0,0.0,0.0,0.0,0.0,False
224,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-10-2023,2023-10-10T14:00:00.171307,Electricity Bill,6450.61,18.0,983.99,492.0,492.0,0.0,True
225,Printech Solutions,,EXP-225,2023-10-15T09:20:30.171307,Printing & Stationery,539.07,0.0,0.0,0.0,0.0,0.0,False
226,Local Carton Wholesalers,,EXP-226,2023-10-17T14:46:30.171307,Packaging Material,1205.67,0.0,0.0,0.0,0.0,0.0,False
227,Google Ads India,,EXP-227,2023-10-18T09:33:30.171307,Marketing,3258.34,0.0,0.0,0.0,0.0,0.0,False
228,Printech Solutions,,EXP-228,2023-10-25T09:05:30.171307,Printing & Stationery,460.41,0.0,0.0,0.0,0.0,0.0,False
229,Local Carton Wholesalers,,EXP-229,2023-10-29T09:27:30.171307,Packaging Material,912.46,0.0,0.0,0.0,0.0,0.0,False
230,Speedy Delivery Partners,,EXP-230,2023-10-31T12:08:30.171307,Delivery Charges,732.01,0.0,0.0,0.0,0.0,0.0,False
231,Prime Properties Ltd,,RENT-11-2023,2023-11-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
232,Store Employees Salaries,,SAL-11-2023,2023-11-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
233,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-11-2023,2023-11-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
234,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-11-2023,2023-11-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
235,Google Ads India,,EXP-235,2023-11-01T13:16:30.171307,Marketing,1613.25,0.0,0.0,0.0,0.0,0.0,False
236,Local Handyman Services,,EXP-236,2023-11-02T13:05:30.171307,Repairs & Maintenance,2294.77,0.0,0.0,0.0,0.0,0.0,False
237,Speedy Delivery Partners,,EXP-237,2023-11-06T16:51:30.171307,Delivery Charges,307.89,0.0,0.0,0.0,0.0,0.0,False
238,Local Carton Wholesalers,,EXP-238,2023-11-07T14:45:30.171307,Packaging Material,1310.57,0.0,0.0,0.0,0.0,0.0,False
239,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-11-2023,2023-11-10T14:00:00.171307,Electricity Bill,6797.78,18.0,1036.95,518.48,518.48,0.0,True
240,Local Handyman Services,,EXP-240,2023-11-10T16:19:30.171307,Repairs & Maintenance,877.27,0.0,0.0,0.0,0.0,0.0,False
241,HDFC Bank Corp,,EXP-241,2023-11-11T16:02:30.171307,Banking Charges,207.98,0.0,0.0,0.0,0.0,0.0,False
242,Local Handyman Services,,EXP-242,2023-11-12T14:04:30.171307,Repairs & Maintenance,1046.87,0.0,0.0,0.0,0.0,0.0,False
243,Local Carton Wholesalers,,EXP-243,2023-11-14T14:11:30.171307,Packaging Material,725.66,0.0,0.0,0.0,0.0,0.0,False
244,Local Handyman Services,,EXP-244,2023-11-15T09:03:30.171307,Repairs & Maintenance,2224.7,0.0,0.0,0.0,0.0,0.0,False
245,HDFC Bank Corp,,EXP-245,2023-11-17T17:57:30.171307,Banking Charges,245.69,0.0,0.0,0.0,0.0,0.0,False
246,Printech Solutions,,EXP-246,2023-11-19T09:44:30.171307,Printing & Stationery,555.33,0.0,0.0,0.0,0.0,0.0,False
247,Printech Solutions,,EXP-247,2023-11-22T13:07:30.171307,Printing & Stationery,589.67,0.0,0.0,0.0,0.0,0.0,False
248,Speedy Delivery Partners,,EXP-248,2023-11-28T12:30:30.171307,Delivery Charges,385.15,0.0,0.0,0.0,0.0,0.0,False
249,Local Handyman Services,,EXP-249,2023-11-30T18:38:30.171307,Repairs & Maintenance,1119.99,0.0,0.0,0.0,0.0,0.0,False
250,Prime Properties Ltd,,RENT-12-2023,2023-12-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
251,Store Employees Salaries,,SAL-12-2023,2023-12-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
252,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-12-2023,2023-12-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
253,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-12-2023,2023-12-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
254,HDFC Bank Corp,,EXP-254,2023-12-01T14:37:30.171307,Banking Charges,131.51,0.0,0.0,0.0,0.0,0.0,False
255,City Logistics,,EXP-255,2023-12-04T13:31:30.171307,Transportation & Fuel,500.33,0.0,0.0,0.0,0.0,0.0,False
256,HDFC Bank Corp,,EXP-256,2023-12-08T09:04:30.171307,Banking Charges,485.75,0.0,0.0,0.0,0.0,0.0,False
257,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-12-2023,2023-12-10T14:00:00.171307,Electricity Bill,7749.32,18.0,1182.1,591.05,591.05,0.0,True
258,Local Carton Wholesalers,,EXP-258,2023-12-12T16:41:30.171307,Packaging Material,1105.74,0.0,0.0,0.0,0.0,0.0,False
259,Google Ads India,,EXP-259,2023-12-14T12:26:30.171307,Marketing,2548.26,0.0,0.0,0.0,0.0,0.0,False
260,Google Ads India,,EXP-260,2023-12-15T16:07:30.171307,Marketing,2304.76,0.0,0.0,0.0,0.0,0.0,False
261,Local Handyman Services,,EXP-261,2023-12-17T17:47:30.171307,Repairs & Maintenance,640.83,0.0,0.0,0.0,0.0,0.0,False
262,Local Carton Wholesalers,,EXP-262,2023-12-20T12:25:30.171307,Packaging Material,885.82,0.0,0.0,0.0,0.0,0.0,False
263,Local Handyman Services,,EXP-263,2023-12-26T09:11:30.171307,Repairs & Maintenance,1114.36,0.0,0.0,0.0,0.0,0.0,False
264,Local Carton Wholesalers,,EXP-264,2023-12-27T14:41:30.171307,Packaging Material,1171.08,0.0,0.0,0.0,0.0,0.0,False
265,City Logistics,,EXP-265,2023-12-30T12:17:30.171307,Transportation & Fuel,1705.69,0.0,0.0,0.0,0.0,0.0,False
266,Google Ads India,,EXP-266,2023-12-31T14:00:30.171307,Marketing,3908.72,0.0,0.0,0.0,0.0,0.0,False
267,Prime Properties Ltd,,RENT-1-2024,2024-01-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
268,Store Employees Salaries,,SAL-1-2024,2024-01-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
269,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-1-2024,2024-01-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
270,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-1-2024,2024-01-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
271,Printech Solutions,,EXP-271,2024-01-02T17:57:30.171307,Printing & Stationery,608.64,0.0,0.0,0.0,0.0,0.0,False
272,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-1-2024,2024-01-10T14:00:00.171307,Electricity Bill,8777.16,18.0,1338.89,669.45,669.45,0.0,True
273,Local Carton Wholesalers,,EXP-273,2024-01-10T16:42:30.171307,Packaging Material,1467.49,0.0,0.0,0.0,0.0,0.0,False
274,Printech Solutions,,EXP-274,2024-01-15T17:54:30.171307,Printing & Stationery,765.14,0.0,0.0,0.0,0.0,0.0,False
275,Speedy Delivery Partners,,EXP-275,2024-01-16T16:13:30.171307,Delivery Charges,458.38,0.0,0.0,0.0,0.0,0.0,False
276,City Logistics,,EXP-276,2024-01-19T16:54:30.171307,Transportation & Fuel,1350.05,0.0,0.0,0.0,0.0,0.0,False
277,Local Handyman Services,,EXP-277,2024-01-20T18:52:30.171307,Repairs & Maintenance,1091.5,0.0,0.0,0.0,0.0,0.0,False
278,Local Handyman Services,,EXP-278,2024-01-21T12:41:30.171307,Repairs & Maintenance,1013.28,0.0,0.0,0.0,0.0,0.0,False
279,City Logistics,,EXP-279,2024-01-23T18:07:30.171307,Transportation & Fuel,1439.64,0.0,0.0,0.0,0.0,0.0,False
280,City Logistics,,EXP-280,2024-01-25T15:07:30.171307,Transportation & Fuel,929.16,0.0,0.0,0.0,0.0,0.0,False
281,Local Carton Wholesalers,,EXP-281,2024-01-27T14:34:30.171307,Packaging Material,1080.78,0.0,0.0,0.0,0.0,0.0,False
282,Printech Solutions,,EXP-282,2024-01-31T12:54:30.171307,Printing & Stationery,260.93,0.0,0.0,0.0,0.0,0.0,False
283,Prime Properties Ltd,,RENT-2-2024,2024-02-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
284,Store Employees Salaries,,SAL-2-2024,2024-02-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
285,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-2-2024,2024-02-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
286,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-2-2024,2024-02-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
287,Local Carton Wholesalers,,EXP-287,2024-02-03T12:58:30.171307,Packaging Material,1397.43,0.0,0.0,0.0,0.0,0.0,False
288,HDFC Bank Corp,,EXP-288,2024-02-06T18:32:30.171307,Banking Charges,279.24,0.0,0.0,0.0,0.0,0.0,False
289,Printech Solutions,,EXP-289,2024-02-08T12:52:30.171307,Printing & Stationery,799.53,0.0,0.0,0.0,0.0,0.0,False
290,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-2-2024,2024-02-10T14:00:00.171307,Electricity Bill,6274.73,18.0,957.16,478.58,478.58,0.0,True
291,Local Handyman Services,,EXP-291,2024-02-10T15:06:30.171307,Repairs & Maintenance,2396.06,0.0,0.0,0.0,0.0,0.0,False
292,HDFC Bank Corp,,EXP-292,2024-02-11T11:35:30.171307,Banking Charges,408.27,0.0,0.0,0.0,0.0,0.0,False
293,Speedy Delivery Partners,,EXP-293,2024-02-17T16:00:30.171307,Delivery Charges,1038.69,0.0,0.0,0.0,0.0,0.0,False
294,HDFC Bank Corp,,EXP-294,2024-02-18T17:31:30.171307,Banking Charges,351.46,0.0,0.0,0.0,0.0,0.0,False
295,Local Handyman Services,,EXP-295,2024-02-20T12:07:30.171307,Repairs & Maintenance,2350.55,0.0,0.0,0.0,0.0,0.0,False
296,HDFC Bank Corp,,EXP-296,2024-02-22T15:20:30.171307,Banking Charges,265.09,0.0,0.0,0.0,0.0,0.0,False
297,HDFC Bank Corp,,EXP-297,2024-02-24T13:33:30.171307,Banking Charges,287.16,0.0,0.0,0.0,0.0,0.0,False
298,Prime Properties Ltd,,RENT-3-2024,2024-03-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
299,Store Employees Salaries,,SAL-3-2024,2024-03-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
300,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-3-2024,2024-03-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
301,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-3-2024,2024-03-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
302,Local Carton Wholesalers,,EXP-302,2024-03-02T13:32:30.171307,Packaging Material,547.74,0.0,0.0,0.0,0.0,0.0,False
303,Printech Solutions,,EXP-303,2024-03-06T12:06:30.171307,Printing & Stationery,231.5,0.0,0.0,0.0,0.0,0.0,False
304,Printech Solutions,,EXP-304,2024-03-09T13:33:30.171307,Printing & Stationery,252.26,0.0,0.0,0.0,0.0,0.0,False
305,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-3-2024,2024-03-10T14:00:00.171307,Electricity Bill,8120.74,18.0,1238.76,619.38,619.38,0.0,True
306,Printech Solutions,,EXP-306,2024-03-14T14:12:30.171307,Printing & Stationery,582.01,0.0,0.0,0.0,0.0,0.0,False
307,Speedy Delivery Partners,,EXP-307,2024-03-17T09:04:30.171307,Delivery Charges,1194.66,0.0,0.0,0.0,0.0,0.0,False
308,Local Handyman Services,,EXP-308,2024-03-20T15:18:30.171307,Repairs & Maintenance,1022.63,0.0,0.0,0.0,0.0,0.0,False
309,Speedy Delivery Partners,,EXP-309,2024-03-22T10:43:30.171307,Delivery Charges,472.93,0.0,0.0,0.0,0.0,0.0,False
310,Printech Solutions,,EXP-310,2024-03-23T11:13:30.171307,Printing & Stationery,594.91,0.0,0.0,0.0,0.0,0.0,False
311,Google Ads India,,EXP-311,2024-03-25T13:29:30.171307,Marketing,2536.6,0.0,0.0,0.0,0.0,0.0,False
312,Speedy Delivery Partners,,EXP-312,2024-03-28T14:58:30.171307,Delivery Charges,460.05,0.0,0.0,0.0,0.0,0.0,False
313,Speedy Delivery Partners,,EXP-313,2024-03-30T14:06:30.171307,Delivery Charges,378.75,0.0,0.0,0.0,0.0,0.0,False
314,Prime Properties Ltd,,RENT-4-2024,2024-04-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
315,Store Employees Salaries,,SAL-4-2024,2024-04-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
316,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-4-2024,2024-04-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
317,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-4-2024,2024-04-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
318,HDFC Bank Corp,,EXP-318,2024-04-03T14:22:30.171307,Banking Charges,198.06,0.0,0.0,0.0,0.0,0.0,False
319,City Logistics,,EXP-319,2024-04-05T10:25:30.171307,Transportation & Fuel,1324.11,0.0,0.0,0.0,0.0,0.0,False
320,Printech Solutions,,EXP-320,2024-04-09T10:15:30.171307,Printing & Stationery,796.5,0.0,0.0,0.0,0.0,0.0,False
321,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-4-2024,2024-04-10T14:00:00.171307,Electricity Bill,7171.03,18.0,1093.89,546.95,546.95,0.0,True
322,Local Handyman Services,,EXP-322,2024-04-10T09:53:30.171307,Repairs & Maintenance,521.01,0.0,0.0,0.0,0.0,0.0,False
323,Speedy Delivery Partners,,EXP-323,2024-04-11T09:10:30.171307,Delivery Charges,1066.64,0.0,0.0,0.0,0.0,0.0,False
324,Google Ads India,,EXP-324,2024-04-22T17:04:30.171307,Marketing,3199.2,0.0,0.0,0.0,0.0,0.0,False
325,HDFC Bank Corp,,EXP-325,2024-04-28T15:06:30.171307,Banking Charges,398.08,0.0,0.0,0.0,0.0,0.0,False
326,Local Handyman Services,,EXP-326,2024-04-30T17:31:30.171307,Repairs & Maintenance,1338.85,0.0,0.0,0.0,0.0,0.0,False
327,Prime Properties Ltd,,RENT-5-2024,2024-05-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
328,Store Employees Salaries,,SAL-5-2024,2024-05-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
329,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-5-2024,2024-05-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
330,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-5-2024,2024-05-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
331,Speedy Delivery Partners,,EXP-331,2024-05-06T16:19:30.171307,Delivery Charges,651.16,0.0,0.0,0.0,0.0,0.0,False
332,HDFC Bank Corp,,EXP-332,2024-05-08T12:25:30.171307,Banking Charges,138.06,0.0,0.0,0.0,0.0,0.0,False
333,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-5-2024,2024-05-10T14:00:00.171307,Electricity Bill,8908.36,18.0,1358.9,679.45,679.45,0.0,True
334,Google Ads India,,EXP-334,2024-05-15T10:10:30.171307,Marketing,3548.53,0.0,0.0,0.0,0.0,0.0,False
335,Printech Solutions,,EXP-335,2024-05-18T09:52:30.171307,Printing & Stationery,367.45,0.0,0.0,0.0,0.0,0.0,False
336,Speedy Delivery Partners,,EXP-336,2024-05-19T12:25:30.171307,Delivery Charges,336.55,0.0,0.0,0.0,0.0,0.0,False
337,Speedy Delivery Partners,,EXP-337,2024-05-21T17:36:30.171307,Delivery Charges,372.57,0.0,0.0,0.0,0.0,0.0,False
338,Local Carton Wholesalers,,EXP-338,2024-05-25T13:47:30.171307,Packaging Material,1348.11,0.0,0.0,0.0,0.0,0.0,False
339,HDFC Bank Corp,,EXP-339,2024-05-26T17:29:30.171307,Banking Charges,397.04,0.0,0.0,0.0,0.0,0.0,False
340,Prime Properties Ltd,,RENT-6-2024,2024-06-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
341,Store Employees Salaries,,SAL-6-2024,2024-06-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
342,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-6-2024,2024-06-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
343,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-6-2024,2024-06-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
344,Speedy Delivery Partners,,EXP-344,2024-06-02T18:09:30.171307,Delivery Charges,972.97,0.0,0.0,0.0,0.0,0.0,False
345,Local Carton Wholesalers,,EXP-345,2024-06-05T14:13:30.171307,Packaging Material,1396.01,0.0,0.0,0.0,0.0,0.0,False
346,Google Ads India,,EXP-346,2024-06-06T11:45:30.171307,Marketing,3615.99,0.0,0.0,0.0,0.0,0.0,False
347,City Logistics,,EXP-347,2024-06-08T11:56:30.171307,Transportation & Fuel,794.05,0.0,0.0,0.0,0.0,0.0,False
348,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-6-2024,2024-06-10T14:00:00.171307,Electricity Bill,8739.09,18.0,1333.08,666.54,666.54,0.0,True
349,HDFC Bank Corp,,EXP-349,2024-06-10T11:12:30.171307,Banking Charges,483.69,0.0,0.0,0.0,0.0,0.0,False
350,Local Handyman Services,,EXP-350,2024-06-13T16:40:30.171307,Repairs & Maintenance,1287.74,0.0,0.0,0.0,0.0,0.0,False
351,City Logistics,,EXP-351,2024-06-16T14:21:30.171307,Transportation & Fuel,1338.51,0.0,0.0,0.0,0.0,0.0,False
352,City Logistics,,EXP-352,2024-06-19T16:40:30.171307,Transportation & Fuel,1386.62,0.0,0.0,0.0,0.0,0.0,False
353,Local Handyman Services,,EXP-353,2024-06-21T13:03:30.171307,Repairs & Maintenance,781.97,0.0,0.0,0.0,0.0,0.0,False
354,Printech Solutions,,EXP-354,2024-06-24T18:36:30.171307,Printing & Stationery,614.55,0.0,0.0,0.0,0.0,0.0,False
355,HDFC Bank Corp,,EXP-355,2024-06-25T12:44:30.171307,Banking Charges,252.43,0.0,0.0,0.0,0.0,0.0,False
356,Printech Solutions,,EXP-356,2024-06-26T13:00:30.171307,Printing & Stationery,683.7,0.0,0.0,0.0,0.0,0.0,False
357,Google Ads India,,EXP-357,2024-06-27T12:01:30.171307,Marketing,3629.63,0.0,0.0,0.0,0.0,0.0,False
358,City Logistics,,EXP-358,2024-06-28T10:05:30.171307,Transportation & Fuel,1222.56,0.0,0.0,0.0,0.0,0.0,False
359,Speedy Delivery Partners,,EXP-359,2024-06-29T15:52:30.171307,Delivery Charges,1090.28,0.0,0.0,0.0,0.0,0.0,False
360,Prime Properties Ltd,,RENT-7-2024,2024-07-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
361,Store Employees Salaries,,SAL-7-2024,2024-07-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
362,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-7-2024,2024-07-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
363,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-7-2024,2024-07-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
364,Local Carton Wholesalers,,EXP-364,2024-07-05T16:32:30.171307,Packaging Material,760.52,0.0,0.0,0.0,0.0,0.0,False
365,HDFC Bank Corp,,EXP-365,2024-07-06T14:03:30.171307,Banking Charges,337.62,0.0,0.0,0.0,0.0,0.0,False
366,Printech Solutions,,EXP-366,2024-07-07T09:50:30.171307,Printing & Stationery,203.59,0.0,0.0,0.0,0.0,0.0,False
367,Adani Electricity Ltd,27MUDEL9990A1Z2,ADANI-7-2024,2024-07-10T14:00:00.171307,Electricity Bill,8732.79,18.0,1332.12,666.06,666.06,0.0,True
368,Printech Solutions,,EXP-368,2024-07-12T11:22:30.171307,Printing & Stationery,690.21,0.0,0.0,0.0,0.0,0.0,False
369,Local Carton Wholesalers,,EXP-369,2024-07-16T10:25:30.171307,Packaging Material,992.35,0.0,0.0,0.0,0.0,0.0,False
370,Local Carton Wholesalers,,EXP-370,2024-07-17T09:59:30.171307,Packaging Material,1162.53,0.0,0.0,0.0,0.0,0.0,False
371,HDFC Bank Corp,,EXP-371,2024-07-23T10:35:30.171307,Banking Charges,404.78,0.0,0.0,0.0,0.0,0.0,False
372,Speedy Delivery Partners,,EXP-372,2024-07-24T11:21:30.171307,Delivery Charges,1067.41,0.0,0.0,0.0,0.0,0.0,False
373,HDFC Bank Corp,,EXP-373,2024-07-26T17:10:30.171307,Banking Charges,402.15,0.0,0.0,0.0,0.0,0.0,False
374,Prime Properties Ltd,,RENT-8-2024,2024-08-01T10:00:00.171307,Rent,30000.0,0.0,0.0,0.0,0.0,0.0,False
375,Store Employees Salaries,,SAL-8-2024,2024-08-01T10:00:00.171307,Payroll,45000.0,0.0,0.0,0.0,0.0,0.0,False
376,TEGL SaaS Solutions,27SaaS1234F1ZN,SAAS-8-2024,2024-08-01T10:00:00.171307,Software Subscription,2000.0,18.0,305.08,152.54,152.54,0.0,True
377,Jio Fiber Corp,27AAACJ8898F1ZN,JIO-8-2024,2024-08-01T11:00:00.171307,Internet Bill,1500.0,18.0,228.81,114.4,114.4,0.0,True
378,Google Ads India,,EXP-378,2024-08-04T16:26:30.171307,Marketing,1264.1,0.0,0.0,0.0,0.0,0.0,False
379,Google Ads India,,EXP-379,2024-08-05T10:54:30.171307,Marketing,1364.55,0.0,0.0,0.0,0.0,0.0,False
380,Speedy Delivery Partners,,EXP-380,2024-08-07T16:26:30.171307,Delivery Charges,645.35,0.0,0.0,0.0,0.0,0.0,False
381,Google Ads India,,EXP-381,2024-08-09T13:37:30.171307,Marketing,4299.62,0.0,0.0,0.0,0.0,0.0,False
